instant,date,season,hr,holiday,weekday,workingday,weather,temp,atemp,hum,windspeed,casual,registered,cnt,month,year,index
77,2011-01-04,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,1,2011,76
78,2011-01-04,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,1,2011,77
79,2011-01-04,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,1,2011,78
80,2011-01-04,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,1,2011,79
81,2011-01-04,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,1,2011,80
82,2011-01-04,1,13,0,2,1,1,0.24,0.2273,0.56,0.19399999999999998,18,79,97,1,2011,81
83,2011-01-04,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,1,2011,82
84,2011-01-04,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,1,2011,83
85,2011-01-04,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,1,2011,84
86,2011-01-04,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,1,2011,85
87,2011-01-04,1,18,0,2,1,1,0.26,0.2576,0.48,0.19399999999999998,3,179,182,1,2011,86
88,2011-01-04,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,1,2011,87
89,2011-01-04,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,1,2011,88
90,2011-01-04,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,1,2011,89
91,2011-01-04,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,1,2011,90
92,2011-01-04,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,1,2011,91
93,2011-01-05,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,1,2011,92
94,2011-01-05,1,1,0,3,1,1,0.16,0.19699999999999998,0.74,0.0896,0,6,6,1,2011,93
95,2011-01-05,1,2,0,3,1,1,0.16,0.19699999999999998,0.74,0.0896,0,2,2,1,2011,94
96,2011-01-05,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,1,2011,95
97,2011-01-05,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,1,2011,96
98,2011-01-05,1,6,0,3,1,1,0.2,0.19699999999999998,0.47,0.2239,0,33,33,1,2011,97
99,2011-01-05,1,7,0,3,1,1,0.18,0.1818,0.43,0.19399999999999998,1,87,88,1,2011,98
100,2011-01-05,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,1,2011,99
101,2011-01-05,1,9,0,3,1,1,0.22,0.19699999999999998,0.37,0.3284,6,109,115,1,2011,100
102,2011-01-05,1,10,0,3,1,1,0.22,0.19699999999999998,0.37,0.3284,4,53,57,1,2011,101
103,2011-01-05,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,1,2011,102
104,2011-01-05,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,1,2011,103
105,2011-01-05,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,1,2011,104
106,2011-01-05,1,14,0,3,1,1,0.3,0.2879,0.28,0.19399999999999998,10,52,62,1,2011,105
107,2011-01-05,1,15,0,3,1,1,0.3,0.2879,0.28,0.19399999999999998,7,55,62,1,2011,106
108,2011-01-05,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,1,2011,107
109,2011-01-05,1,17,0,3,1,1,0.24,0.2273,0.38,0.19399999999999998,4,186,190,1,2011,108
110,2011-01-05,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,1,2011,109
111,2011-01-05,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,1,2011,110
112,2011-01-05,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,1,2011,111
113,2011-01-05,1,21,0,3,1,1,0.2,0.19699999999999998,0.51,0.19399999999999998,3,40,43,1,2011,112
114,2011-01-05,1,22,0,3,1,1,0.18,0.19699999999999998,0.55,0.1343,1,41,42,1,2011,113
115,2011-01-05,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,1,2011,114
116,2011-01-06,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,1,2011,115
117,2011-01-06,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,1,2011,116
118,2011-01-06,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,1,2011,117
119,2011-01-06,1,4,0,4,1,2,0.16,0.19699999999999998,0.64,0.0896,0,1,1,1,2011,118
120,2011-01-06,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,1,2011,119
121,2011-01-06,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,1,2011,120
122,2011-01-06,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,1,2011,121
123,2011-01-06,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,1,2011,122
124,2011-01-06,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,1,2011,123
125,2011-01-06,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,1,2011,124
126,2011-01-06,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,1,2011,125
127,2011-01-06,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,1,2011,126
128,2011-01-06,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,1,2011,127
129,2011-01-06,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,1,2011,128
130,2011-01-06,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,1,2011,129
131,2011-01-06,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,1,2011,130
132,2011-01-06,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,1,2011,131
133,2011-01-06,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,1,2011,132
134,2011-01-06,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,1,2011,133
135,2011-01-06,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,1,2011,134
136,2011-01-06,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,1,2011,135
137,2011-01-06,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,1,2011,136
138,2011-01-06,1,23,0,4,1,2,0.2,0.19699999999999998,0.59,0.19399999999999998,4,19,23,1,2011,137
139,2011-01-07,1,0,0,5,1,2,0.2,0.19699999999999998,0.64,0.19399999999999998,4,13,17,1,2011,138
140,2011-01-07,1,1,0,5,1,2,0.2,0.19699999999999998,0.69,0.2239,2,5,7,1,2011,139
141,2011-01-07,1,2,0,5,1,2,0.2,0.19699999999999998,0.69,0.2239,0,1,1,1,2011,140
142,2011-01-07,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,1,2011,141
143,2011-01-07,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,1,2011,142
144,2011-01-07,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,1,2011,143
145,2011-01-07,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,1,2011,144
146,2011-01-07,1,8,0,5,1,1,0.2,0.19699999999999998,0.51,0.2537,20,190,210,1,2011,145
147,2011-01-07,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,1,2011,146
148,2011-01-07,1,10,0,5,1,1,0.22,0.19699999999999998,0.37,0.3284,16,47,63,1,2011,147
149,2011-01-07,1,11,0,5,1,2,0.2,0.19699999999999998,0.4,0.2239,19,48,67,1,2011,148
150,2011-01-07,1,12,0,5,1,2,0.2,0.19699999999999998,0.37,0.2537,9,50,59,1,2011,149
151,2011-01-07,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,1,2011,150
152,2011-01-07,1,14,0,5,1,2,0.2,0.19699999999999998,0.4,0.2537,7,43,50,1,2011,151
153,2011-01-07,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,1,2011,152
154,2011-01-07,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,1,2011,153
155,2011-01-07,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,1,2011,154
156,2011-01-07,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,1,2011,155
157,2011-01-07,1,19,0,5,1,1,0.16,0.19699999999999998,0.55,0.0896,3,92,95,1,2011,156
158,2011-01-07,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,1,2011,157
159,2011-01-07,1,21,0,5,1,1,0.18,0.19699999999999998,0.47,0.1343,0,39,39,1,2011,158
160,2011-01-07,1,22,0,5,1,2,0.18,0.19699999999999998,0.43,0.1642,2,34,36,1,2011,159
161,2011-01-07,1,23,0,5,1,2,0.18,0.19699999999999998,0.51,0.1642,1,14,15,1,2011,160
162,2011-01-08,1,0,0,6,0,2,0.18,0.19699999999999998,0.51,0.1642,1,24,25,1,2011,161
163,2011-01-08,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,1,2011,162
164,2011-01-08,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16,1,2011,163
165,2011-01-08,1,3,0,6,0,3,0.18,0.19699999999999998,0.55,0.1642,0,7,7,1,2011,164
166,2011-01-08,1,4,0,6,0,3,0.18,0.19699999999999998,0.55,0.1642,0,1,1,1,2011,165
167,2011-01-08,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,1,2011,166
168,2011-01-08,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,1,2011,167
169,2011-01-08,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,1,2011,168
170,2011-01-08,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,1,2011,169
171,2011-01-08,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,1,2011,170
172,2011-01-08,1,10,0,6,0,2,0.18,0.19699999999999998,0.8,0.1642,5,56,61,1,2011,171
173,2011-01-08,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,1,2011,172
174,2011-01-08,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,1,2011,173
175,2011-01-08,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,1,2011,174
176,2011-01-08,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,1,2011,175
177,2011-01-08,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,1,2011,176
178,2011-01-08,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,1,2011,177
179,2011-01-08,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,1,2011,178
180,2011-01-08,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,1,2011,179
181,2011-01-08,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,1,2011,180
182,2011-01-08,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,1,2011,181
183,2011-01-08,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,1,2011,182
184,2011-01-08,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,1,2011,183
185,2011-01-08,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,1,2011,184
186,2011-01-09,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,1,2011,185
187,2011-01-09,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,1,2011,186
188,2011-01-09,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,1,2011,187
189,2011-01-09,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,1,2011,188
190,2011-01-09,1,4,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,0,1,1,1,2011,189
191,2011-01-09,1,5,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,0,1,1,1,2011,190
192,2011-01-09,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,1,2011,191
193,2011-01-09,1,7,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,1,5,6,1,2011,192
194,2011-01-09,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,1,2011,193
195,2011-01-09,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19,1,2011,194
196,2011-01-09,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49,1,2011,195
197,2011-01-09,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49,1,2011,196
198,2011-01-09,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83,1,2011,197
199,2011-01-09,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75,1,2011,198
200,2011-01-09,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72,1,2011,199
201,2011-01-09,1,15,0,0,0,1,0.22,0.19699999999999998,0.35,0.3582,5,77,82,1,2011,200
202,2011-01-09,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92,1,2011,201
203,2011-01-09,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62,1,2011,202
204,2011-01-09,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48,1,2011,203
205,2011-01-09,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41,1,2011,204
206,2011-01-09,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38,1,2011,205
207,2011-01-09,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20,1,2011,206
208,2011-01-09,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15,1,2011,207
209,2011-01-09,1,23,0,0,0,1,0.12,0.1364,0.5,0.19399999999999998,0,6,6,1,2011,208
210,2011-01-10,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5,1,2011,209
211,2011-01-10,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1,1,2011,210
212,2011-01-10,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3,1,2011,211
213,2011-01-10,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1,1,2011,212
214,2011-01-10,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3,1,2011,213
215,2011-01-10,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3,1,2011,214
216,2011-01-10,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31,1,2011,215
217,2011-01-10,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77,1,2011,216
218,2011-01-10,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188,1,2011,217
219,2011-01-10,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94,1,2011,218
220,2011-01-10,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31,1,2011,219
221,2011-01-10,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30,1,2011,220
222,2011-01-10,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52,1,2011,221
223,2011-01-10,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54,1,2011,222
224,2011-01-10,1,14,0,1,1,2,0.2,0.19699999999999998,0.4,0.2239,0,47,47,1,2011,223
225,2011-01-10,1,15,0,1,1,2,0.2,0.19699999999999998,0.4,0.2239,2,43,45,1,2011,224
226,2011-01-10,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74,1,2011,225
227,2011-01-10,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178,1,2011,226
228,2011-01-10,1,18,0,1,1,1,0.2,0.19699999999999998,0.4,0.2239,1,154,155,1,2011,227
229,2011-01-10,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95,1,2011,228
230,2011-01-10,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74,1,2011,229
231,2011-01-10,1,21,0,1,1,1,0.14,0.1364,0.59,0.19399999999999998,1,37,38,1,2011,230
232,2011-01-10,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24,1,2011,231
233,2011-01-10,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18,1,2011,232
234,2011-01-11,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,12,1,2011,233
235,2011-01-11,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3,1,2011,234
236,2011-01-11,1,2,0,2,1,2,0.16,0.1515,0.55,0.19399999999999998,0,3,3,1,2011,235
237,2011-01-11,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,6,1,2011,236
238,2011-01-11,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,27,1,2011,237
239,2011-01-11,1,7,0,2,1,2,0.16,0.2273,0.55,0.0,2,97,99,1,2011,238
240,2011-01-11,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,217,1,2011,239
241,2011-01-11,1,9,0,2,1,2,0.18,0.19699999999999998,0.51,0.1642,3,127,130,1,2011,240
242,2011-01-11,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51,54,1,2011,241
243,2011-01-11,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31,35,1,2011,242
244,2011-01-11,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55,57,1,2011,243
245,2011-01-11,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,6,46,52,1,2011,244
246,2011-01-11,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,3,60,63,1,2011,245
247,2011-01-11,1,15,0,2,1,2,0.16,0.19699999999999998,0.8,0.0896,2,45,47,1,2011,246
248,2011-01-11,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,4,72,76,1,2011,247
249,2011-01-11,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,6,130,136,1,2011,248
250,2011-01-11,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,1,94,95,1,2011,249
251,2011-01-11,1,19,0,2,1,3,0.16,0.2273,0.93,0.0,0,51,51,1,2011,250
252,2011-01-11,1,20,0,2,1,3,0.16,0.1515,0.93,0.19399999999999998,0,32,32,1,2011,251
253,2011-01-11,1,21,0,2,1,3,0.16,0.19699999999999998,0.86,0.0896,0,20,20,1,2011,252
254,2011-01-11,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,1,28,29,1,2011,253
255,2011-01-11,1,23,0,2,1,3,0.16,0.19699999999999998,0.93,0.0896,1,18,19,1,2011,254
256,2011-01-12,1,0,0,3,1,2,0.16,0.19699999999999998,0.86,0.0896,0,7,7,1,2011,255
257,2011-01-12,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,0,6,6,1,2011,256
258,2011-01-12,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,0,1,1,1,2011,257
259,2011-01-12,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,0,5,5,1,2011,258
260,2011-01-12,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,0,16,16,1,2011,259
261,2011-01-12,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,0,54,54,1,2011,260
262,2011-01-12,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,3,125,128,1,2011,261
263,2011-01-12,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,3,78,81,1,2011,262
