predicted,original,index
51.9,72,920
-2.76,17,7452
241.31,238,7441
96.94,45,6721
264.59,237,1706
149.64,111,1695
66.91,79,8857
5.49,8,14373
109.87,51,11751
550.19,648,10478
349.54,440,11481
-9.72,1,2215
175.28,167,3983
424.49,461,12375
124.31,127,7206
89.0,29,1736
414.14,313,11631
77.26,31,10197
87.08,45,9757
304.04,343,6581
100.54,79,1817
246.61,274,12953
3.49,5,4302
184.13,78,4153
344.03,167,14677
588.31,568,15538
193.17,139,7828
155.59,174,3384
459.72,564,3596
367.52,381,11288
126.79,128,10188
141.55,116,15884
304.32,363,13636
366.61,420,2632
21.53,5,10894
273.73,189,11128
51.12,22,7856
464.26,399,10141
3.9,23,1622
589.22,579,10517
-6.51,2,9579
101.04,85,17362
16.68,29,2452
242.19,229,14382
464.2,504,5530
315.17,414,15615
-6.41,6,1249
0.05,3,9389
192.25,191,8776
276.88,310,12295
-2.14,4,9053
128.14,81,15891
46.13,52,7184
218.65,245,14224
121.05,24,8819
0.37,9,16761
301.98,327,16008
322.01,162,1105
12.04,13,15285
342.55,324,13978
101.49,150,2879
-5.01,17,2814
209.37,116,1093
201.93,232,4239
188.79,118,8753
243.02,287,16815
17.89,23,7787
-1.63,18,7694
9.24,13,9031
174.28,171,15330
326.47,352,14794
242.32,276,7944
284.69,278,14392
402.78,342,2946
86.88,74,343
181.68,186,5650
-4.0,15,8574
-3.61,8,12381
12.03,21,8936
534.65,586,10600
255.71,264,12281
282.83,305,6122
414.21,585,16170
85.09,199,9159
84.53,83,1891
40.26,41,756
-4.06,16,373
354.58,363,3644
303.59,278,7372
3.62,2,15574
243.25,303,16678
32.42,73,16328
161.36,222,2272
3.17,8,16834
38.88,24,5891
356.05,418,11234
302.96,137,12163
326.37,381,13685
152.55,134,9735
79.21,56,10030
3.43,3,13222
4.17,14,12623
179.71,229,13473
188.29,512,14674
77.52,68,1400
-5.72,4,17287
17.26,17,5658
189.5,263,2420
172.61,127,14547
337.25,500,14533
240.02,202,9754
364.22,223,8658
165.55,114,12837
261.25,285,13570
71.38,47,8454
152.03,165,5436
352.41,301,3285
228.65,207,4655
-16.2,2,597
617.17,617,12656
262.35,277,14489
44.89,83,290
-21.23,2,1481
130.52,224,9468
275.17,258,5337
219.18,323,4247
237.2,372,6389
-9.77,2,9677
229.54,211,938
271.63,330,16622
227.77,148,7707
192.67,117,8087
29.27,27,4423
237.29,251,14801
269.15,248,5470
109.39,38,5546
98.39,115,1256
188.85,201,5782
343.01,415,6982
388.95,319,16070
203.84,243,4214
529.05,483,11001
6.89,13,13749
19.62,28,12572
104.23,101,6505
200.99,269,13577
184.63,206,4007
696.04,576,13140
47.26,52,700
415.32,482,14337
15.08,31,6039
315.35,359,14151
124.19,130,4668
258.39,106,6778
259.15,183,4317
20.27,31,4059
131.13,109,6739
157.59,93,8639
64.32,84,7642
164.4,141,13873
32.92,50,4973
528.32,569,17087
253.23,291,2682
-15.81,1,1692
331.5,331,13809
-1.16,3,5429
513.37,580,11291
564.96,559,14862
76.6,14,8674
138.17,121,14154
29.13,17,11544
266.74,104,14535
116.56,188,9993
226.48,163,16600
150.16,125,2832
6.05,5,14759
73.4,59,1710
32.45,50,2788
295.34,276,12943
321.4,339,5791
279.68,332,4425
111.69,190,8855
2.85,12,4492
493.79,585,15846
529.9,534,12491
0.17,5,4686
161.07,159,14729
720.41,761,15325
220.94,256,1369
186.58,176,4523
160.41,118,1860
45.05,36,15216
110.71,157,821
299.53,317,13594
156.65,120,473
280.9,321,11151
161.64,223,6458
16.35,27,5407
310.12,119,14019
508.94,116,10062
223.85,224,9923
245.34,316,12296
220.93,235,14178
169.99,205,10116
275.72,318,10590
92.74,42,4953
194.28,197,6715
-4.0,5,2934
202.6,190,12893
411.66,378,10573
254.11,122,7732
138.8,124,1885
112.56,147,5592
581.13,604,4171
457.76,372,10912
60.83,24,5047
304.95,304,3561
-6.3,4,1066
8.6,11,12405
133.14,190,2014
546.16,618,14067
7.71,41,7979
222.07,183,12666
61.7,88,9248
5.74,16,15597
16.88,25,3243
236.65,203,10260
145.86,114,9061
62.24,49,268
72.62,94,6496
-6.15,1,1090
259.81,236,12976
275.92,263,11913
19.74,25,13436
225.69,149,15163
193.24,203,1942
149.49,151,1512
169.01,155,3576
366.9,410,7337
283.58,250,10214
186.24,153,3757
121.91,101,15164
418.43,362,11387
100.6,94,10772
262.84,332,14889
43.93,9,17235
63.28,106,5854
447.56,459,11150
200.86,173,16888
340.78,286,10361
-5.12,7,7235
437.17,430,12626
356.28,392,15154
407.44,341,3451
202.5,159,13397
3.74,4,11567
293.78,257,17276
113.83,92,7806
-4.83,7,8934
518.92,505,5932
350.93,459,8272
418.25,459,14550
6.75,3,10871
13.75,22,4420
142.8,82,17159
21.61,25,13388
294.39,302,12104
4.86,4,4494
89.76,106,543
180.04,220,6964
108.24,79,7015
208.43,169,3854
56.75,54,17329
209.68,214,17107
-4.83,7,5333
171.18,146,3688
107.39,72,9000
166.02,136,4527
16.07,16,5095
38.99,31,7283
-15.77,2,279
255.97,456,3135
294.78,370,15394
-5.99,7,8004
344.37,363,7630
629.98,620,11787
38.86,49,17378
88.01,79,1351
-13.36,4,1480
70.74,16,10133
107.24,32,14731
-11.31,2,95
146.64,108,15967
14.88,13,12839
208.25,204,7300
61.39,39,7712
319.05,306,10050
49.47,57,14784
131.36,64,9476
146.08,175,3888
187.51,174,1749
-3.77,4,9171
6.61,16,2671
442.72,553,7226
502.98,516,12822
745.81,759,16741
118.18,66,8689
15.5,24,7022
560.69,110,12301
362.68,325,13157
164.07,172,12409
209.76,109,17016
390.52,351,2971
155.91,94,13
403.51,431,10549
382.96,547,13089
95.21,46,10246
411.1,467,8224
27.87,26,7983
158.07,205,3011
223.98,217,16267
76.43,141,8418
-5.62,3,9508
204.8,199,9597
456.52,531,3370
580.42,653,16174
295.91,295,13036
164.99,187,5245
244.78,237,17084
244.46,211,10091
131.84,114,6536
0.34,12,10079
15.14,19,4687
-17.92,3,2263
434.51,476,15554
229.12,103,16838
111.57,62,9181
83.45,63,16205
321.08,384,2997
218.06,174,15736
-21.95,1,458
41.75,31,12788
44.36,41,13846
57.06,11,12911
130.46,137,10186
12.64,11,12357
423.78,389,13311
93.98,42,16333
329.33,410,3237
325.01,372,15327
320.98,260,14122
-3.8,5,9075
89.08,112,17075
220.26,161,17155
169.54,153,3904
161.4,130,13361
157.92,202,10411
302.85,353,15634
178.84,264,6194
125.1,178,16599
128.73,175,6679
3.19,7,11327
76.73,58,12980
160.45,133,6744
186.13,167,1403
218.35,209,13553
56.88,10,2020
292.7,331,11308
359.35,382,15604
22.15,24,15944
1.93,12,1972
6.63,24,6351
107.81,94,6991
188.34,218,3063
14.71,20,4587
475.45,552,11841
160.53,138,8374
423.25,404,5602
14.34,8,16497
-1.52,8,16427
340.6,316,12748
272.78,202,4530
207.69,153,12689
-15.56,3,8577
114.33,110,8082
280.11,300,13144
73.49,89,111
202.73,164,2362
536.96,598,2995
131.41,113,12121
131.58,118,17324
273.96,254,12799
65.49,191,9504
293.0,183,4979
61.35,26,5263
-5.06,4,3149
408.4,404,5661
19.33,36,120
585.22,640,15705
66.49,93,13077
-8.4,7,2454
263.43,188,15089
328.78,232,4295
108.47,71,1237
187.15,112,8831
37.23,41,13776
24.9,10,16737
314.97,305,12244
512.47,596,16199
218.72,265,4600
429.78,452,12845
143.42,134,4504
120.05,127,2513
191.6,228,5411
-1.43,6,10585
535.92,607,3884
154.33,204,10854
69.67,76,1371
404.24,336,15159
686.56,281,14917
488.11,530,10048
-5.8,11,8410
224.61,144,13738
143.24,161,14209
1.08,2,7211
322.48,281,8733
383.48,340,15978
173.19,170,2823
128.02,93,16669
332.44,348,14428
138.28,160,16827
71.63,30,5633
39.54,16,8675
-8.37,6,9245
92.17,78,9633
291.85,278,13816
131.94,146,4505
23.7,17,15093
-4.04,1,3869
237.95,183,4151
322.46,374,5789
76.02,43,2426
-12.88,4,2070
17.39,21,9649
240.26,280,9328
221.52,130,2349
129.98,154,4909
209.16,279,5762
511.21,432,12005
279.98,280,13760
66.88,46,10508
388.15,363,12495
28.33,30,12096
605.09,502,9380
1.32,3,14206
13.05,14,12261
119.97,41,17069
544.54,497,13070
325.01,285,5931
371.62,224,11189
339.64,280,1743
116.28,243,2126
230.7,181,12870
-3.23,7,6995
194.45,250,4559
39.65,35,13056
178.76,69,2587
44.3,10,5879
9.57,13,9219
-1.29,15,8409
-2.34,2,1180
198.36,221,16969
1.06,3,6373
402.54,386,12059
52.45,11,4278
127.71,142,5580
-8.63,2,2381
12.19,18,15789
199.52,176,1099
89.19,20,16853
146.94,146,16142
29.25,30,5621
80.36,57,1537
348.02,392,15447
4.84,6,6491
195.69,257,17007
21.49,23,4711
272.98,249,10638
38.41,41,9292
-3.82,2,7212
29.33,15,169
153.83,181,9021
148.13,182,6343
392.03,418,11738
88.14,40,12019
177.37,114,17182
-11.42,1,1810
339.0,472,17125
141.16,37,6826
86.96,56,8466
141.34,143,15409
-3.48,8,6302
171.46,75,11858
108.46,121,8189
7.02,25,1927
331.01,321,3493
276.6,82,1567
3.18,9,11783
204.28,198,16485
119.61,145,1394
-3.12,7,12023
80.49,105,3824
18.46,24,5403
314.05,317,2629
257.21,293,16549
30.73,23,7816
6.71,16,13557
65.03,15,16087
-7.7,1,10201
28.91,4,1020
69.53,70,1852
323.98,351,10398
300.11,250,12700
336.24,355,3930
82.84,125,12557
246.92,259,12730
0.93,7,8073
151.82,181,9500
460.88,525,12199
217.29,230,7796
6.8,6,8480
9.01,2,15237
338.25,222,8779
80.03,23,11083
272.57,365,16411
306.32,317,12207
102.0,72,1454
182.54,219,5738
75.16,99,7335
866.39,970,14748
562.58,487,11558
-1.2,8,10466
167.23,148,2704
335.47,220,13972
280.84,234,11554
252.72,296,14646
186.61,182,3803
404.95,279,12833
134.62,99,14515
225.07,268,4486
163.03,306,15255
-8.23,3,1690
221.59,216,7440
121.26,127,14778
208.92,457,13495
149.6,280,8402
226.97,43,11203
36.7,33,13006
369.47,343,14196
9.52,12,15213
-9.24,13,1623
245.85,256,1635
217.66,234,10114
-1.87,7,5070
1.55,21,524
46.76,36,7136
153.32,177,7606
-4.58,26,2668
73.97,46,4553
102.25,87,7711
198.15,244,5710
66.16,65,2058
128.35,76,8451
311.19,227,16010
65.18,122,6356
76.1,32,13081
347.92,347,5324
25.13,27,10897
385.0,389,13815
287.15,332,15607
118.94,179,5898
258.32,274,13447
159.6,289,9855
203.85,143,10002
291.05,327,4065
119.32,73,7417
439.11,391,15872
21.34,17,13556
145.01,163,15249
14.1,21,6855
424.65,417,10720
69.84,47,5451
140.44,108,7412
132.31,215,15617
187.3,170,6384
87.96,82,14666
173.73,73,6779
70.33,62,6849
116.11,122,15949
66.2,93,359
286.18,228,9521
505.76,522,13689
48.56,76,16135
245.34,347,15807
3.28,5,16641
6.72,13,4924
140.73,137,10351
287.89,260,15317
49.5,64,2217
99.3,74,936
126.11,138,3208
78.93,91,12701
-4.36,5,5869
397.51,370,5952
568.16,593,15278
151.52,173,2076
22.78,4,8364
6.22,4,16018
-10.86,8,9007
349.69,304,15318
16.3,27,16643
115.45,112,11442
33.48,23,10803
54.36,35,3338
4.64,11,3076
452.09,463,12770
276.14,242,13616
249.15,170,8699
387.96,385,5277
199.31,355,16672
137.25,294,3113
385.81,337,13184
15.09,30,14805
66.89,87,8222
249.27,243,1009
16.72,27,2066
6.91,10,13943
146.52,148,4529
2.38,5,10393
145.11,103,16805
142.85,166,8181
14.66,24,4831
367.74,415,12399
254.53,274,12568
101.24,90,10556
256.68,281,6218
274.98,221,13348
106.19,45,4281
17.5,14,15620
505.32,638,3883
15.53,38,757
20.95,25,17283
42.99,49,14976
274.15,291,15438
618.57,809,15805
573.62,602,11840
83.17,78,420
456.36,505,12578
87.02,65,658
272.84,299,8135
297.51,276,11032
50.73,46,2185
133.19,69,6187
280.89,266,14265
151.91,106,1077
10.39,14,14806
102.21,110,2080
208.73,184,12941
308.19,306,14776
229.94,217,15437
-6.05,5,12382
395.11,421,14984
379.63,445,16002
48.89,116,513
116.45,85,8470
410.42,483,13370
113.84,52,5570
154.69,171,5400
11.6,11,14184
76.01,14,1564
123.22,152,980
621.57,698,10934
13.55,21,3535
97.05,90,10326
-4.25,7,6470
9.53,14,4515
-1.21,21,2716
81.5,99,238
350.88,319,16968
180.14,103,9039
271.76,119,13971
854.1,848,14101
208.03,208,5519
211.99,234,8031
282.79,285,16910
-0.24,7,664
80.08,75,492
104.71,107,8214
205.42,110,11239
517.83,467,10142
168.28,209,7253
-5.25,6,2694
236.87,256,14238
261.62,223,11728
129.16,130,6907
258.67,104,15247
88.95,100,16548
142.18,144,9372
10.32,9,11084
60.52,55,2291
100.56,64,5521
422.91,476,13353
200.74,243,12785
86.98,114,6665
69.77,89,1420
1.41,2,16928
215.67,296,14848
72.42,60,4009
95.39,106,10220
46.61,15,14521
100.11,36,20
166.15,263,17132
241.92,292,15184
224.63,335,3637
578.14,594,4243
174.41,202,3375
189.1,230,837
103.9,110,64
154.47,129,6572
272.71,249,11552
318.69,317,3612
41.43,50,13368
39.14,19,15408
295.24,377,6813
350.79,391,14271
313.62,396,12592
43.56,57,274
177.35,128,14859
432.12,365,13043
28.74,71,7474
107.03,79,10891
54.72,26,6922
299.51,368,16072
171.94,151,8207
335.93,526,14482
286.98,349,4333
82.69,62,614
-3.62,9,1928
245.63,256,8823
438.07,450,13835
545.23,517,2851
200.52,172,12917
-9.77,6,7188
389.01,483,5979
6.47,6,11206
157.28,136,3711
625.04,679,12320
136.21,114,4884
149.11,148,9921
56.35,58,890
-7.44,2,5846
279.62,254,15418
229.98,288,13769
105.93,110,7243
292.0,346,5361
2.64,13,5655
90.95,99,364
3.68,22,7885
237.48,130,16529
268.07,229,10569
166.98,183,13777
32.6,29,16590
162.63,227,5972
119.04,42,11490
89.89,54,88
356.91,376,14260
20.96,17,12525
174.9,130,10189
-16.75,2,457
193.18,205,9682
0.65,4,1996
78.82,62,7735
260.9,365,6644
159.25,223,16587
180.07,175,15027
199.38,200,4739
222.67,251,16363
243.59,233,11118
10.79,12,11976
-3.28,6,11878
365.35,412,6508
537.06,596,12542
